year,month,CLOUDY_PIXEL_PERCENTAGE,volume_m2_area_fmask_deepwatermap,volume_km2_area_fmask_deepwatermap,volume_m2_area_deepwatermap,volume_km2_area_deepwatermap,volume_km2_area_ndwi,volume_m2_area_fmask_ndwi,volume_km2_area_fmask_ndwi,volume_m2_area_mndwi,volume_km2_area_mndwi,volume_m2_area_fmask_mndwi,volume_km2_area_fmask_mndwi,volume_m2_area_ndwi
2021,1,99.999999,12.65429502762558,1.134916506920862e-06,44.8641,2.9328087258554574e-06,0.0,0.6269639050984602,1.7350416720808906e-07,44.8641,9.809688693521198e-06,8.08936956606261,8.882101644984067e-07,0.0
2021,1,87.942222,15.84677737255587,1.2954130350811475e-06,44.8641,2.9328087258554574e-06,0.0,20.10318492527822,1.506166350471583e-06,44.8641,7.687649802444055e-06,44.8641,4.867490956012687e-06,0.0
2021,1,88.900568,16.52290312650987,1.3299424041898623e-06,44.8641,2.908508091088879e-06,0.0,9.049085470708823,9.507992887624058e-07,44.8641,9.809688693521198e-06,44.8641,4.400964977300324e-06,0.0
2021,2,6.94355,8.178288353719912,8.940091191923364e-07,14.179039104455295,1.2102425621340517e-06,5.43955814726331e-09,0.947218451493812,2.2509128115903732e-07,3.887022990038989,5.862813334707955e-07,3.567208644590788,5.480565113056717e-07,0.011198507543185115
2021,2,52.520762,10.48167462228095,1.0315944649388766e-06,44.8641,2.9152779759569407e-06,0.0,5.877773212145347,7.385678325710835e-07,22.178825728024155,1.606594592808795e-06,44.8641,3.66450203958881e-06,0.0
2021,2,50.571434,8.035044267843544,8.846672693307318e-07,44.8641,2.9159579207253494e-06,2.817336366490182e-08,44.8641,2.8880210595885888e-06,20.259927614768884,1.5137502218157626e-06,44.8641,9.632596105515081e-06,0.07834317394686803
2021,2,23.26535,4.086451388015994,6.101173969740231e-07,10.221830465075211,1.0192372078434632e-06,0.0,3.7184061537215953,5.661279267396328e-07,2.0780830109992174,3.7444964896839844e-07,5.148901725892398,6.865993366182143e-07,0.0
2021,2,56.951671,11.87227600904946,1.0977264843705507e-06,44.8641,2.8676227165363515e-06,9.755729285852401e-10,18.52985656378556,1.4300420992259145e-06,22.912462658597917,1.6412155291129099e-06,44.8641,5.097312529772085e-06,0.0009755729285852681
2021,3,84.218968,11.07160788828154,1.0596495773397076e-06,44.8641,2.9328087258554574e-06,0.0,9.485617289376355,9.792682805874851e-07,44.8641,8.580231894052538e-06,44.8641,4.813078187521065e-06,0.0
2021,3,37.0786,11.604972210967,1.0850144734829245e-06,3.3214218788274352,5.186796070311676e-07,0.0,7.638856511337398,8.588293681312311e-07,2.588796194620909,4.3163918197587864e-07,44.8641,3.50079109334529e-06,0.0
